Service Name,File Path,Lines of Code,Category,Primary Functionality,Widget Dependencies,Quality Score,Integration Target,Risk Level,Rationale
"ABTestFramework","ABTestFramework.ts",975,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AnalyticsEngine","AnalyticsEngine.ts",1665,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AndroidOptimizer","AndroidOptimizer.ts",1367,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AssetManager","AssetManager.ts",1797,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AssetManifestProcessor","AssetManifestProcessor.ts",389,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioCompressionEngine","AudioCompressionEngine.ts",1260,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioContextManager","AudioContextManager.ts",257,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioEngine","AudioEngine.ts",171,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AudioResourceDisposer","AudioResourceDisposer.ts",708,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"BackgroundProcessor","BackgroundProcessor.ts",799,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"BaseAudioPlugin","BaseAudioPlugin.ts",356,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"BatteryManager","BatteryManager.ts",963,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"BrowserCompatibilityDetector","BrowserCompatibilityDetector.ts",599,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"CacheMetricsCollector","CacheMetricsCollector.ts",583,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"CDNCache","CDNCache.ts",1417,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"ComprehensiveStateManager","ComprehensiveStateManager.ts",1006,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
"AssetLoadingController","CorePlaybackEngine/controllers/AssetLoadingController.ts",150,"TBD","TBD","TBD","TBD","TBD","TBD","TBD"
